NODEID,VECCL_SIZE,REPCL_SIZE,OFFSET_SIZE,COUNTER_SIZE,VECCL_TIMESTAMPS,HLC,BITMAP,OFFSETS,COUNTERS,EPSILON,INTERVAL,DELTA,ALPHA,MAX_OFFSET_SIZE,NUM_PROCS
9,32,20,10,0,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,649,00000000000000000000001000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
31,32,30,19,1,0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1,649,10000000000000000000001000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
5,32,20,10,0,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,899,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
6,32,30,19,1,0:0:0:0:0:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,899,00000000000000000000000001100000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
11,32,21,10,0,0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1149,00000000000000000000100000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
2,32,31,19,1,0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1149,00000000000000000000100000000100,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
4,32,21,10,0,0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1399,00000000000000000000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
13,32,31,19,1,0:0:0:0:1:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1399,00000000000000000010000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
4,64,21,10,0,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1649,00000000000000000000000000010000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
16,64,31,19,1,0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1649,00000000000000010000000000010000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
24,32,21,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0,1899,00000001000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
24,64,22,10,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:2:0:0:0:0:0:0:0,1899,00000001000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
8,32,22,10,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2149,00000000000000000000000100000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
14,32,32,19,1,0:0:0:0:0:0:0:0:1:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2149,00000000000000000100000100000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
22,32,22,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,2399,00000000010000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
30,32,32,19,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:1:0,2399,01000000010000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
10,32,22,10,0,0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2649,00000000000000000000010000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
5,64,32,19,1,0:0:0:0:0:2:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,2649,00000000000000000000010000100000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
23,32,22,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0,2899,00000000100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
24,64,32,19,1,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:3:0:0:0:0:0:0:0,2899,00000001100000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
14,64,22,10,0,0:0:0:0:0:0:0:0:1:0:0:0:0:0:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3149,00000000000000000100000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
14,64,23,10,1,0:0:0:0:0:0:0:0:1:0:0:0:0:0:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3149,00000000000000000100000000000000,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
17,32,22,10,0,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3399,00000000000000100000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
0,32,32,19,1,1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3399,00000000000000100000000000000001,0000000000000000000000000000000000000000000000000000000000000000,1,400,100,64,4,9,32
5,64,22,10,0,0:0:0:0:0:3:0:0:0:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,3649,00000000000000000000000000100000,0000000000000000000000000000000000000000000000000000000000000000,0,400,100,64,4,9,32
